id,match_id,sentence,type,source
1,M01,"Krunal, Kohli and Salt thrash KKR on opening night of IPL 2025",Headline,ESPNCricinfo
2,M01,KKR lost their way after Rahane and Narine's 103-run partnership for the second wicket,Summary,ESPNCricinfo
3,M02,Kishan's 106* ensures SRH ease to win in 286 plays 242,Headline,ESPNCricinfo
4,M02,"SRH threatened to breach 300 in their first game of the season, with Travishek and Klaasen also landing blows",Summary,ESPNCricinfo
5,M03,"Noor, Ravindra, Gaikwad get CSK off to winning start",Headline,ESPNCricinfo
6,M03,"Debutant Vignesh Puthur picked up three wickets for MI, but CSK closed out a comfortable win in the end",Summary,ESPNCricinfo
7,M04,Ashutosh stuns LSG as DC complete one-wicket heist,Headline,ESPNCricinfo
8,M04,DC's new recruit joined forces with debutant Vipraj Nigam to turn what seemed a certain defeat into a pulsating last-over win,Summary,ESPNCricinfo
9,M05,Shreyas Iyer's IPL best leads PBKS to winning start,Headline,ESPNCricinfo
10,M05,Arya and Shashank also impressed as PBKS posted their highest-ever total on their way to a 11-run win,Summary,ESPNCricinfo
11,M06,KKR spinners stifle Royals before Quinton de Kock gets the job done,Headline,ESPNCricinfo
12,M06,KKR were without an unwell Sunil Narine but still dominated enough to not need Andre Russell with ball or bat,Summary,ESPNCricinfo
13,M07,Shardul and Pooran make light work of SRH,Headline,ESPNCricinfo
14,M07,LSG chasing down their target with 23 balls and five wickets to spare was giving SRH a taste of their own medicine,Summary,ESPNCricinfo
15,M08,"Patidar, bowlers lead RCB to first win over CSK in Chennai since 2008",Headline,ESPNCricinfo
16,M08,CSK couldn't handle the seam and swing of Bhuvneshwar and Hazlewood after RCB batters dominated CSK's attack,Summary,ESPNCricinfo
17,M09,"Sai Sudharsan, Prasidh Krishna consign MI to big defeat",Headline,ESPNCricinfo
18,M09,"There was some concern for Titans as Sai Sudharsan left the field clutching his left hamstring after a diving effort, but Shubman Gill later said that it was a cramp",Summary,ESPNCricinfo
19,M10,Explosive SRH fizzle out against Starc and Kuldeep,Headline,ESPNCricinfo
20,M10,Starc's maiden five-for in T20s overshadowed Aniket Verma's 41-ball 74,Summary,ESPNCricinfo
21,M11,Rana 81 in Royals win as CSK batting muddle continues,Headline,ESPNCricinfo
22,M11,Rajasthan Royals secured their first win of IPL 2025 with Hasaranga also playing a big part,Summary,ESPNCricinfo
23,M12,Rookies Ashwani and Rickelton lead MI to first win,Headline,ESPNCricinfo
24,M12,"Ashwani's 4 for 24 was the best figures by an Indian on IPL debut, as MI extended their record against KKR at Wankhede to 10-2",Summary,ESPNCricinfo
25,M13,Prabhsimran and Iyer see LSG off with ease,Headline,ESPNCricinfo
26,M13,Punjab Kings secured their second win in two matches having restricted their opponents to 171,Summary,ESPNCricinfo
27,M14,Buttler 73* leads GT past RCB after Siraj derails former team,Headline,ESPNCricinfo
28,M14,"Livingstone fifty, and cameos from Jitesh and David, took hosts from 42 for 4 to 169, but it wasn't enough",Summary,ESPNCricinfo
29,M15,Venkatesh and Arora consign SRH to their biggest-ever defeat,Headline,ESPNCricinfo
