id,match_id,sentence,type,source,tokens,pos_tags,event_tags,dep_tags
1,M01,"Krunal, Kohli and Salt thrash KKR on opening night of IPL 2025",Headline,ESPNCricinfo,"['Krunal', ',', 'Kohli', 'and', 'Salt', 'thrash', 'KKR', 'on', 'opening', 'night', 'of', 'IPL', '2025']","['PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'NUM']","['PLAYER', 'O', 'PLAYER', 'O', 'PLAYER', 'RESULT', 'TEAM', 'O', 'O', 'O', 'O', 'TOURNAMENT', 'TOURNAMENT']","['nsubj', 'punct', 'conj', 'cc', 'conj', 'ROOT', 'dobj', 'prep', 'pcomp', 'dobj', 'prep', 'pobj', 'nummod']"
2,M01,KKR lost their way after Rahane and Narine's 103-run partnership for the second wicket,Summary,ESPNCricinfo,"['KKR', 'lost', 'their', 'way', 'after', 'Rahane', 'and', 'Narine', ""'s"", '103-run', 'partnership', 'for', 'the', 'second', 'wicket']","['PROPN', 'VERB', 'PRON', 'NOUN', 'SCONJ', 'PROPN', 'CCONJ', 'PROPN', 'PART', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']","['TEAM', 'RESULT', 'O', 'O', 'O', 'PLAYER', 'O', 'PLAYER', 'O', 'PARTNERSHIP', 'PARTNERSHIP', 'O', 'O', 'O', 'WICKET']","['nsubj', 'ROOT', 'poss', 'dobj', 'mark', 'poss', 'cc', 'conj', 'case', 'amod', 'advcl', 'prep', 'det', 'amod', 'pobj']"
3,M02,Kishan's 106* ensures SRH ease to win in 286 plays 242,Headline,ESPNCricinfo,"['Kishan', ""'s"", '106*', 'ensures', 'SRH', 'ease', 'to', 'win', 'in', '286', 'plays', '242']","['PROPN', 'PART', 'NUM', 'VERB', 'PROPN', 'VERB', 'PART', 'VERB', 'ADP', 'NUM', 'VERB', 'NUM']","['PLAYER', 'O', 'SCORE', 'O', 'TEAM', 'RESULT', 'O', 'RESULT', 'O', 'SCORE', 'O', 'SCORE']","['poss', 'case', 'nummod', 'ROOT', 'nsubj', 'ccomp', 'aux', 'xcomp', 'prep', 'pobj', 'conj', 'nummod']"
4,M02,"SRH threatened to breach 300 in their first game of the season, with Travishek and Klaasen also landing blows",Summary,ESPNCricinfo,"['SRH', 'threatened', 'to', 'breach', '300', 'in', 'their', 'first', 'game', 'of', 'the', 'season', ',', 'with', 'Travishek', 'and', 'Klaasen', 'also', 'landing', 'blows']","['NOUN', 'VERB', 'PART', 'VERB', 'NUM', 'ADP', 'PRON', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'ADV', 'VERB', 'NOUN']","['TEAM', 'O', 'O', 'RUN_EVENT', 'SCORE', 'O', 'O', 'O', 'O', 'O', 'O', 'TOURNAMENT', 'O', 'O', 'PLAYER', 'O', 'PLAYER', 'O', 'RUN_EVENT', 'RUN_EVENT']","['nsubj', 'ROOT', 'aux', 'xcomp', 'dobj', 'prep', 'poss', 'amod', 'pobj', 'prep', 'det', 'pobj', 'punct', 'prep', 'nsubj', 'cc', 'conj', 'advmod', 'pcomp', 'dobj']"
5,M03,"Noor, Ravindra, Gaikwad get CSK off to winning start",Headline,ESPNCricinfo,"['Noor', ',', 'Ravindra', ',', 'Gaikwad', 'get', 'CSK', 'off', 'to', 'winning', 'start']","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'PROPN', 'ADP', 'ADP', 'ADJ', 'NOUN']","['PLAYER', 'O', 'PLAYER', 'O', 'PLAYER', 'O', 'TEAM', 'O', 'O', 'RESULT', 'RESULT']","['nsubj', 'punct', 'conj', 'punct', 'conj', 'ROOT', 'dobj', 'prt', 'prep', 'amod', 'dobj']"
6,M03,"Debutant Vignesh Puthur picked up three wickets for MI, but CSK closed out a comfortable win in the end",Summary,ESPNCricinfo,"['Debutant', 'Vignesh', 'Puthur', 'picked', 'up', 'three', 'wickets', 'for', 'MI', ',', 'but', 'CSK', 'closed', 'out', 'a', 'comfortable', 'win', 'in', 'the', 'end']","['NOUN', 'PROPN', 'PROPN', 'VERB', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'CCONJ', 'PROPN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']","['ROLE', 'PLAYER', 'PLAYER', 'O', 'O', 'O', 'WICKET', 'O', 'TEAM', 'O', 'O', 'TEAM', 'O', 'O', 'O', 'O', 'RESULT', 'O', 'O', 'O']","['compound', 'compound', 'nsubj', 'ROOT', 'prt', 'nummod', 'dobj', 'prep', 'pobj', 'punct', 'cc', 'nsubj', 'conj', 'prt', 'det', 'amod', 'dobj', 'prep', 'det', 'pobj']"
7,M04,Ashutosh stuns LSG as DC complete one-wicket heist,Headline,ESPNCricinfo,"['Ashutosh', 'stuns', 'LSG', 'as', 'DC', 'complete', 'one-wicket', 'heist']","['PROPN', 'VERB', 'PROPN', 'SCONJ', 'PROPN', 'VERB', 'ADJ', 'NOUN']","['PLAYER', 'RESULT', 'TEAM', 'O', 'TEAM', 'O', 'MARGIN', 'RESULT']","['nsubj', 'ROOT', 'dobj', 'mark', 'pobj', 'advcl', 'amod', 'dobj']"
8,M04,DC's new recruit joined forces with debutant Vipraj Nigam to turn what seemed a certain defeat into a pulsating last-over win,Summary,ESPNCricinfo,"['DC', ""'s"", 'new', 'recruit', 'joined', 'forces', 'with', 'debutant', 'Vipraj', 'Nigam', 'to', 'turn', 'what', 'seemed', 'a', 'certain', 'defeat', 'into', 'a', 'pulsating', 'last-over', 'win']","['PROPN', 'PART', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'PART', 'VERB', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN']","['TEAM', 'O', 'O', 'ROLE', 'O', 'O', 'O', 'ROLE', 'PLAYER', 'PLAYER', 'O', 'O', 'O', 'O', 'O', 'O', 'RESULT', 'O', 'O', 'O', 'MARGIN', 'RESULT']","['poss', 'case', 'amod', 'nsubj', 'ROOT', 'dobj', 'prep', 'compound', 'compound', 'pobj', 'aux', 'advcl', 'nsubj', 'ccomp', 'det', 'amod', 'dobj', 'prep', 'det', 'amod', 'amod', 'pobj']"
9,M05,Shreyas Iyer's IPL best leads PBKS to winning start,Headline,ESPNCricinfo,"['Shreyas', 'Iyer', ""'s"", 'IPL', 'best', 'leads', 'PBKS', 'to', 'winning', 'start']","['PROPN', 'PROPN', 'PART', 'PROPN', 'ADV', 'VERB', 'PROPN', 'ADP', 'ADJ', 'NOUN']","['PLAYER', 'PLAYER', 'O', 'TOURNAMENT', 'O', 'O', 'TEAM', 'O', 'RESULT', 'RESULT']","['compound', 'poss', 'case', 'nsubj', 'advmod', 'ROOT', 'dobj', 'prep', 'amod', 'dobj']"
10,M05,Arya and Shashank also impressed as PBKS posted their highest-ever total on their way to a 11-run win,Summary,ESPNCricinfo,"['Arya', 'and', 'Shashank', 'also', 'impressed', 'as', 'PBKS', 'posted', 'their', 'highest-ever', 'total', 'on', 'their', 'way', 'to', 'a', '11-run', 'win']","['PROPN', 'CCONJ', 'PROPN', 'ADV', 'VERB', 'SCONJ', 'PROPN', 'VERB', 'PRON', 'ADJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']","['PLAYER', 'O', 'PLAYER', 'O', 'O', 'O', 'TEAM', 'O', 'O', 'O', 'SCORE', 'O', 'O', 'O', 'O', 'O', 'MARGIN', 'RESULT']","['nsubj', 'cc', 'conj', 'advmod', 'ROOT', 'mark', 'nsubj', 'advcl', 'poss', 'amod', 'dobj', 'prep', 'poss', 'pobj', 'prep', 'det', 'amod', 'pobj']"
